--- Log Capture Start: 20260214_164856 ---
02-14 16:46:34.777 D/BleProximity: 📶 RSSI: -61
02-14 16:46:35.091 D/BleProximity: 📶 RSSI: -58
02-14 16:46:35.390 D/BleProximity: 📶 RSSI: -56
02-14 16:46:35.697 D/BleProximity: 📶 RSSI: -52
02-14 16:46:36.003 D/BleProximity: 📶 RSSI: -53
02-14 16:46:36.303 D/BleProximity: 📶 RSSI: -56
02-14 16:46:36.608 D/BleProximity: 📶 RSSI: -57
02-14 16:46:36.918 D/BleProximity: 📶 RSSI: -56
02-14 16:46:37.222 D/BleProximity: 📶 RSSI: -54
02-14 16:46:37.527 D/BleProximity: 📶 RSSI: -53
02-14 16:46:37.833 D/BleProximity: 📶 RSSI: -55
02-14 16:46:38.141 D/BleProximity: 📶 RSSI: -56
02-14 16:46:38.447 D/BleProximity: 📶 RSSI: -57
02-14 16:46:38.751 D/BleProximity: 📶 RSSI: -58
02-14 16:46:39.053 D/BleProximity: 📶 RSSI: -57
02-14 16:46:39.375 D/BleProximity: 📶 RSSI: -59
02-14 16:46:39.679 D/BleProximity: 📶 RSSI: -57
02-14 16:46:39.983 D/BleProximity: 📶 RSSI: -60
02-14 16:46:40.309 D/BleProximity: 📶 RSSI: -60
02-14 16:46:40.629 D/BleProximity: 📶 RSSI: -60
02-14 16:46:40.940 D/BleProximity: 📶 RSSI: -59
02-14 16:46:41.261 D/BleProximity: 📶 RSSI: -58
02-14 16:46:41.572 D/BleProximity: 📶 RSSI: -57
02-14 16:46:41.873 D/BleProximity: 📶 RSSI: -57
02-14 16:46:42.166 D/BleProximity: 📶 RSSI: -58
02-14 16:46:42.486 D/BleProximity: 📶 RSSI: -57
02-14 16:46:42.777 D/BleProximity: 📶 RSSI: -57
02-14 16:46:43.107 D/BleProximity: 📶 RSSI: -58
02-14 16:46:43.420 D/BleProximity: 📶 RSSI: -58
02-14 16:46:43.719 D/BleProximity: 📶 RSSI: -58
02-14 16:46:44.037 D/BleProximity: 📶 RSSI: -60
02-14 16:46:44.356 D/BleProximity: 📶 RSSI: -59
02-14 16:46:44.672 D/BleProximity: 📶 RSSI: -58
02-14 16:46:44.983 D/BleProximity: 📶 RSSI: -58
02-14 16:46:45.304 D/BleProximity: 📶 RSSI: -58
02-14 16:46:45.616 D/BleProximity: 📶 RSSI: -59
02-14 16:46:45.933 D/BleProximity: 📶 RSSI: -57
02-14 16:46:46.247 D/BleProximity: 📶 RSSI: -58
02-14 16:46:46.554 D/BleProximity: 📶 RSSI: -58
02-14 16:46:46.850 D/BleProximity: 📶 RSSI: -60
02-14 16:46:47.151 D/BleProximity: 📶 RSSI: -59
02-14 16:46:47.456 D/BleProximity: 📶 RSSI: -58
02-14 16:46:47.764 D/BleProximity: 📶 RSSI: -55
02-14 16:46:47.952 D/MG_NET_LOG: ┌────── 请求开始 ──────
02-14 16:46:47.952 D/MG_NET_LOG: │ URL: https://mp.ebanma.com/app-mp/vp/1.2/getVehicleStatus
02-14 16:46:47.952 D/MG_NET_LOG: │ Method: POST
02-14 16:46:47.952 D/MG_NET_LOG: │ Params: data={"vin":"LSJWM6367SZ641063","appId":"Roewe","brandCode":"1","nonce":"AC711803879E4EB39059902458527C42","timestamp":"1771058807948","token":"e3067e4cd4d944d38e9da95f1d0371e4-prod_SAIC"}
02-14 16:46:47.952 D/MG_NET_LOG: └──────────────────────
02-14 16:46:47.963 D/BleProximity: ➕ 添加监听器: callback_6_1771058807963 (总数: 2)
02-14 16:46:47.963 D/ControlActivity: ➕ 添加监听器: callback_6_1771058807963 (总数: 2)
02-14 16:46:47.963 D/ControlActivity: ✅ 蓝牙回调注册成功 ID: callback_6_1771058807963
02-14 16:46:48.066 D/BleProximity: 📶 RSSI: -53
02-14 16:46:48.369 D/BleProximity: 📶 RSSI: -56
02-14 16:46:48.671 D/BleProximity: 📶 RSSI: -56
02-14 16:46:48.972 D/BleProximity: 📶 RSSI: -55
02-14 16:46:49.281 D/BleProximity: 📶 RSSI: -53
02-14 16:46:49.587 D/BleProximity: 📶 RSSI: -54
02-14 16:46:49.757 D/BleProximity: 🎫 [ControlActivity] 获取 Session: session_ControlActivity_6_1771058809757 (总数: 2)
02-14 16:46:49.757 D/ControlActivity: 🎫 [ControlActivity] 获取 Session: session_ControlActivity_6_1771058809757 (总数: 2)
02-14 16:46:49.890 D/BleProximity: 📶 RSSI: -54
02-14 16:46:50.194 D/BleProximity: 📶 RSSI: -54
02-14 16:46:50.499 D/BleProximity: 📶 RSSI: -54
02-14 16:46:50.805 D/BleProximity: 📶 RSSI: -54
02-14 16:46:51.116 D/BleProximity: 📶 RSSI: -54
02-14 16:46:51.422 D/BleProximity: 📶 RSSI: -53
02-14 16:46:51.434 D/MG_NET_LOG: ┌────── 响应结束 (200 / 3479ms) ──────
02-14 16:46:51.436 D/MG_NET_LOG: │ URL: https://mp.ebanma.com/app-mp/vp/1.2/getVehicleStatus
02-14 16:46:51.436 D/MG_NET_LOG: │ Result: {"req_id":"19c5b54c69c7e0faf89","data":{"vehicle_position":{"satellites":8,"altitude":340,"latitude":"29.842712","gps_status":3,"update_time":1770989170000,"gps_time":1770990050000,"hdop":160,"longitude":"107.071608"},"vehicle_alerts":[],"vehicle_security":{"position_authorization_status":true,"privacy_status":true},"vehicle_value":{"local_sec_row_r_seat_vent_lvl":null,"climate_on_off_status":0,"steer_heat_level":0,"pwr_lftgt_pos":null,"inst_fuel_consumption":null,"rear_right_tyre_pressure":272,"tbox_internal_battery":null,"battery_pack_fault_status":null,"charge_door_position_status":0,"veh_elec_rng_dsp_cmd":0,"local_sec_row_l_seat_vent_lvl":null,"veh_bms_pack_soc_dsp_v":0,"battery_lattice_number":4,"driving_range":747,"battery_pack_range":124,"power_mode":0,"engine_status":0,"exterior_temperature":14,"rmt_rr_seat_heat_flr_rsn":null,"fuel_level_prc":55,"localfront_left_seat_heat_level":0,"interior_pm25":0,"odometer":9255,"local_sec_row_l_seat_heat_lvl":null,"rmt_fr_seat_heat_flr_rsn":null,"rmt_seat_vent_flr_rsn":null,"inspect_status":null,"remote_steer_heat_level":0,"last_key_seen":0,"wheel_tyre_monitor_status":null,"rmt_a_c_abot_rsn":null,"vehicle_battery":1240,"chrgng_rmnng_time_v":null,"exterior_pm25":0,"front_left_tyre_pressure":272,"charge_status":1009,"localfront_right_seat_vent_level":null,"speed":0,"vehicle_battery_dev":2,"front_right_tyre_pressure":268,"battery_pack_prc":990,"interior_temperature_v":null,"steer_heat_failure_reason":0,"local_sec_row_r_seat_heat_lvl":null,"clstr_elec_rng_to_eptv":0,"fuel_range":747,"current_journey_id":564,"pwr_lftgt_pos_v":null,"interior_temperature":15,"localfront_right_seat_heat_level":0,"heading":0,"battery_alarm_value":[50,200,500],"update_time":1771058368000,"remote_climate_status":0,"fota_status":0,"current_journey_distance":0,"bms_charge_status":null,"vehicle_alarm_status":0,"veh_intlgnt_scene_md":null,"rear_left_tyre_pressure":272,"vehicle_battery_prc":840,"battery_type":0,"fuel_level_disp":5,"monitor_status":null,"localfront_left_seat_vent_level":null,"chrgng_rmnng_time":1023},"update_time":1771058640000,"vehicle_state":{"door":false,"gnss_ant_connected":false,"second_row_left_seat_heat":false,"rear_right_door":false,"second_row_right_seat_vent":false,"dipped_beam":false,"driver_window":false,"clstr_range":false,"vehicle_battery_connected":true,"seat_heat":false,"driver_door":false,"lock":false,"right_seat_heat":false,"feed":false,"horn":false,"air_clean":false,"light":false,"bonnet":false,"bat_low":null,"inspect":null,"steer_heat":false,"side_light":false,"gsm_ant_connected":false,"second_row_left_seat_vent":false,"battery_pack":true,"combination_control":false,"engine":false,"seat_vent":false,"left_seat_vent":false,"second_row_right_seat_heat":false,"power":false,"boot":false,"power_protection":false,"charge":false,"passenger_door":false,"can_bus":true,"update_time":1771058368000,"monitor":null,"climate":false,"right_seat_vent":false,"left_seat_heat":false,"rear_right_window":false,"sunroof":false,"rear_left_door":false,"passenger_window":false,"window":false,"rear_left_window":false,"main_beam":false}}}
02-14 16:46:51.438 D/MG_NET_LOG: └──────────────────────────────────────────────────
02-14 16:46:51.555 D/BleProximity: 🔧 初始化 BleProximityManager
02-14 16:46:51.556 D/BleProximity: ⚠️ 检测到已初始化，先清理旧状态
02-14 16:46:51.557 D/BleProximity: 🧹 清理资源...
02-14 16:46:51.557 D/BleProximity: 🛑 停止服务
02-14 16:46:51.558 D/BleProximity: 🎫 [BleProximityManager] 释放 Session: session_BleProximityManager_5_1771058673093 (剩余: 1)
02-14 16:46:51.558 D/ControlActivity: 🎫 [BleProximityManager] 释放 Session: session_BleProximityManager_5_1771058673093 (剩余: 1)
02-14 16:46:51.559 D/BleProximity: ✅ Session 已释放
02-14 16:46:51.561 D/BleProximity: ✅ 屏幕状态监听已注销
02-14 16:46:51.565 D/BleProximity: ➖ 移除监听器: callback_5_1771058673092 
02-14 16:46:51.565 D/ControlActivity: ➖ 移除监听器: callback_5_1771058673092 
02-14 16:46:51.566 D/BleProximity: ✅ 已移除回调: callback_5_1771058673092
02-14 16:46:51.567 D/BleProximity: ✅ 资源清理完成
02-14 16:46:51.567 D/ControlActivity: ➕ 添加监听器: callback_7_1771058811567 (总数: 2)
02-14 16:46:51.568 D/BleProximity: ➕ 添加监听器: callback_7_1771058811567 (总数: 2)
02-14 16:46:51.568 D/BleProximity: ✅ 初始化完成，回调ID: callback_7_1771058811567 ,DistanceMeters:-70.0
02-14 16:46:51.569 D/BleProximity: 🚀 启动靠近解锁服务...
02-14 16:46:51.569 D/ControlActivity: 🎫 [BleProximityManager] 获取 Session: session_BleProximityManager_7_1771058811569 (总数: 2)
02-14 16:46:51.570 D/BleProximity: 🎫 [BleProximityManager] 获取 Session: session_BleProximityManager_7_1771058811569 (总数: 2)
02-14 16:46:51.570 D/BleProximity: 🎫 Session 已获取: true
02-14 16:46:51.570 D/BleProximity: ✅ 服务启动时，设备已处于连接状态
02-14 16:46:51.577 D/BleProximity: ✅ 屏幕状态监听已注册
02-14 16:46:51.728 D/BleProximity: 📶 RSSI: -55
02-14 16:46:51.729 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 16:46:52.029 D/BleProximity: 📶 RSSI: -54
02-14 16:46:52.031 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 16:46:52.338 D/BleProximity: 📶 RSSI: -53
02-14 16:46:52.341 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 16:46:52.646 D/BleProximity: 📶 RSSI: -54
02-14 16:46:52.648 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 16:46:52.946 D/BleProximity: 📶 RSSI: -55
02-14 16:46:53.249 D/BleProximity: 📶 RSSI: -53
02-14 16:46:53.559 D/BleProximity: 📶 RSSI: -53
02-14 16:46:53.864 D/BleProximity: 📶 RSSI: -55
02-14 16:46:54.172 D/BleProximity: 📶 RSSI: -54
02-14 16:46:54.479 D/BleProximity: 📶 RSSI: -56
02-14 16:46:54.784 D/BleProximity: 📶 RSSI: -54
02-14 16:46:55.096 D/BleProximity: 📶 RSSI: -53
02-14 16:46:55.328 D/ControlActivity: 🎫 [ControlActivity] 释放 Session: session_ControlActivity_6_1771058809757 (剩余: 1)
02-14 16:46:55.329 D/BleProximity: 🎫 [ControlActivity] 释放 Session: session_ControlActivity_6_1771058809757 (剩余: 1)
02-14 16:46:55.400 D/BleProximity: 📶 RSSI: -51
02-14 16:46:55.697 D/BleProximity: 📶 RSSI: -49
02-14 16:46:56.005 D/BleProximity: 📶 RSSI: -51
02-14 16:46:56.306 D/BleProximity: 📶 RSSI: -53
02-14 16:46:56.616 D/BleProximity: 📶 RSSI: -54
02-14 16:46:56.917 D/BleProximity: 📶 RSSI: -53
02-14 16:46:57.226 D/BleProximity: 📶 RSSI: -55
02-14 16:46:57.532 D/BleProximity: 📶 RSSI: -54
02-14 16:46:57.839 D/BleProximity: 📶 RSSI: -53
02-14 16:46:58.146 D/BleProximity: 📶 RSSI: -54
02-14 16:46:58.451 D/BleProximity: 📶 RSSI: -56
02-14 16:46:58.758 D/BleProximity: 📶 RSSI: -55
02-14 16:46:59.060 D/BleProximity: 📶 RSSI: -57
02-14 16:46:59.368 D/BleProximity: 📶 RSSI: -57
02-14 16:46:59.469 D/ControlActivity: 🎫 [ControlActivity] 获取 Session: session_ControlActivity_8_1771058819469 (总数: 2)
02-14 16:46:59.470 D/BleProximity: 🎫 [ControlActivity] 获取 Session: session_ControlActivity_8_1771058819469 (总数: 2)
02-14 16:46:59.669 D/BleProximity: 📶 RSSI: -55
02-14 16:46:59.983 D/BleProximity: 📶 RSSI: -54
02-14 16:47:00.278 D/BleProximity: 📶 RSSI: -53
02-14 16:47:00.279 D/BleProximity: 🔓 >>> 触发解锁 <<<
02-14 16:47:00.280 D/BleProximity: 原因: 信号均值(-55) > 阈值(-70.0) 
02-14 16:47:00.281 D/ControlActivity: 📤 发送指令: 解锁车门
02-14 16:47:00.281 D/BleProximity: 📤 发送指令: 解锁车门
02-14 16:47:00.321 D/ControlActivity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: fd4526851882
02-14 16:47:00.322 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: fd4526851882
02-14 16:47:00.323 D/ControlActivity: 🔐 处理认证挑战: 666434353236383531383832
02-14 16:47:00.324 D/BleProximity: 🔐 处理认证挑战: 666434353236383531383832
02-14 16:47:00.588 D/BleProximity: 📶 RSSI: -54
02-14 16:47:00.893 D/BleProximity: 📶 RSSI: -54
02-14 16:47:01.023 D/ControlActivity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 01
02-14 16:47:01.025 D/BleProximity: 收到认证挑战：uuid: 6CB493E3-7D21-46FB-A7F6-003E2464267E, value: 01
02-14 16:47:01.026 D/ControlActivity: 解锁成功
02-14 16:47:01.027 D/BleProximity: 解锁成功
02-14 16:47:01.028 D/ControlActivity: 📊 指令出队: 解锁车门 -> SUCCESS
02-14 16:47:01.028 D/BleProximity: 📊 指令出队: 解锁车门 -> SUCCESS
02-14 16:47:01.043 D/BleProximity: 🔓 解锁结果: SUCCESS
02-14 16:47:01.044 D/BleProximity: 🔄 同步状态: 车辆已解锁
02-14 16:47:01.050 D/ControlActivity: 🔗 链式触发: 120秒打火
02-14 16:47:01.051 D/BleProximity: 🔗 链式触发: 120秒打火
02-14 16:47:01.082 D/WidgetUpdateWorker: Found active widgets, starting data fetch...
02-14 16:47:01.088 D/MG_NET_LOG: ┌────── 请求开始 ──────
02-14 16:47:01.089 D/MG_NET_LOG: │ URL: https://mp.ebanma.com/app-mp/vp/1.2/getVehicleStatus
02-14 16:47:01.089 D/MG_NET_LOG: │ Method: POST
02-14 16:47:01.090 D/MG_NET_LOG: │ Params: data={"vin":"LSJWM6367SZ641063","appId":"Roewe","brandCode":"1","nonce":"FB2CE816907C4AA6B8EF443D9B0BB10A","timestamp":"1771058821083","token":"e3067e4cd4d944d38e9da95f1d0371e4-prod_SAIC"}
02-14 16:47:01.090 D/MG_NET_LOG: └──────────────────────
02-14 16:47:01.199 D/BleProximity: 📶 RSSI: -53
02-14 16:47:01.201 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 16:47:01.503 D/BleProximity: 📶 RSSI: -54
02-14 16:47:01.505 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 16:47:01.552 D/ControlActivity: 📤 发送指令: 120秒打火
02-14 16:47:01.554 D/BleProximity: 📤 发送指令: 120秒打火
02-14 16:47:01.604 D/ControlActivity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 8549d601813a
02-14 16:47:01.605 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 8549d601813a
02-14 16:47:01.606 D/ControlActivity: 🔐 处理认证挑战: 383534396436303138313361
02-14 16:47:01.606 D/BleProximity: 🔐 处理认证挑战: 383534396436303138313361
02-14 16:47:01.809 D/BleProximity: 📶 RSSI: -53
02-14 16:47:01.811 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 16:47:02.114 D/BleProximity: 📶 RSSI: -53
02-14 16:47:02.116 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 16:47:02.322 D/MG_NET_LOG: ┌────── 响应结束 (200 / 1230ms) ──────
02-14 16:47:02.324 D/MG_NET_LOG: │ URL: https://mp.ebanma.com/app-mp/vp/1.2/getVehicleStatus
02-14 16:47:02.325 D/MG_NET_LOG: │ Result: {"req_id":"19c5b54f9fe376f9f64","data":{"vehicle_position":{"satellites":8,"altitude":340,"gps_status":3,"latitude":"29.842712","update_time":1770989170000,"gps_time":1770990050000,"hdop":160,"longitude":"107.071608"},"vehicle_security":{"position_authorization_status":true,"privacy_status":true},"vehicle_alerts":[],"vehicle_value":{"local_sec_row_r_seat_vent_lvl":null,"climate_on_off_status":0,"steer_heat_level":0,"pwr_lftgt_pos":null,"inst_fuel_consumption":null,"rear_right_tyre_pressure":272,"battery_pack_fault_status":null,"charge_door_position_status":0,"tbox_internal_battery":null,"veh_elec_rng_dsp_cmd":0,"local_sec_row_l_seat_vent_lvl":null,"veh_bms_pack_soc_dsp_v":0,"battery_lattice_number":4,"driving_range":747,"battery_pack_range":124,"power_mode":0,"engine_status":0,"exterior_temperature":14,"rmt_rr_seat_heat_flr_rsn":null,"fuel_level_prc":55,"localfront_left_seat_heat_level":0,"interior_pm25":0,"odometer":9255,"local_sec_row_l_seat_heat_lvl":null,"rmt_fr_seat_heat_flr_rsn":null,"rmt_seat_vent_flr_rsn":null,"inspect_status":null,"remote_steer_heat_level":0,"last_key_seen":0,"wheel_tyre_monitor_status":null,"rmt_a_c_abot_rsn":null,"vehicle_battery":1240,"chrgng_rmnng_time_v":null,"exterior_pm25":0,"front_left_tyre_pressure":272,"charge_status":1009,"localfront_right_seat_vent_level":null,"speed":0,"vehicle_battery_dev":2,"front_right_tyre_pressure":268,"battery_pack_prc":990,"interior_temperature_v":null,"local_sec_row_r_seat_heat_lvl":null,"steer_heat_failure_reason":0,"clstr_elec_rng_to_eptv":0,"fuel_range":747,"current_journey_id":564,"pwr_lftgt_pos_v":null,"interior_temperature":15,"localfront_right_seat_heat_level":0,"heading":0,"battery_alarm_value":[50,200,500],"update_time":1771058368000,"remote_climate_status":0,"fota_status":0,"bms_charge_status":null,"current_journey_distance":0,"vehicle_alarm_status":0,"rear_left_tyre_pressure":272,"veh_intlgnt_scene_md":null,"vehicle_battery_prc":840,"fuel_level_disp":5,"monitor_status":null,"battery_type":0,"chrgng_rmnng_time":1023,"localfront_left_seat_vent_level":null},"update_time":1771058640000,"vehicle_state":{"gnss_ant_connected":false,"door":false,"second_row_left_seat_heat":false,"rear_right_door":false,"dipped_beam":false,"second_row_right_seat_vent":false,"clstr_range":false,"vehicle_battery_connected":true,"driver_window":false,"seat_heat":false,"driver_door":false,"lock":false,"right_seat_heat":false,"feed":false,"horn":false,"air_clean":false,"light":false,"bonnet":false,"bat_low":null,"inspect":null,"steer_heat":false,"side_light":false,"gsm_ant_connected":false,"second_row_left_seat_vent":false,"battery_pack":true,"combination_control":false,"engine":false,"seat_vent":false,"second_row_right_seat_heat":false,"left_seat_vent":false,"power":false,"boot":false,"power_protection":false,"charge":false,"passenger_door":false,"can_bus":true,"update_time":1771058368000,"monitor":null,"climate":false,"right_seat_vent":false,"left_seat_heat":false,"rear_right_window":false,"sunroof":false,"rear_left_door":false,"passenger_window":false,"window":false,"rear_left_window":false,"main_beam":false}}}
02-14 16:47:02.325 D/MG_NET_LOG: └──────────────────────────────────────────────────
02-14 16:47:02.348 D/WidgetUpdateWorker: Data fetch complete. Success: true, Address: 重庆市长寿区金山街
02-14 16:47:02.349 D/WidgetUpdateWorker: Starting update loop for 1 widget types
02-14 16:47:02.350 D/MGWidget: updateWidgetSynchronously called for ID: 69
02-14 16:47:02.420 D/BleProximity: 📶 RSSI: -53
02-14 16:47:02.727 D/BleProximity: 📶 RSSI: -53
02-14 16:47:03.036 D/BleProximity: 📶 RSSI: -53
02-14 16:47:03.339 D/BleProximity: 📶 RSSI: -54
02-14 16:47:03.646 D/BleProximity: 📶 RSSI: -55
02-14 16:47:03.953 D/BleProximity: 📶 RSSI: -56
02-14 16:47:04.257 D/BleProximity: 📶 RSSI: -56
02-14 16:47:04.560 D/ControlActivity: ⏱️ 指令超时无响应: 120秒打火
02-14 16:47:04.569 D/BleProximity: ⏱️ 指令超时无响应: 120秒打火
02-14 16:47:04.571 D/ControlActivity: 📊 指令出队: 120秒打火 -> TIMEOUT
02-14 16:47:04.572 D/BleProximity: 📊 指令出队: 120秒打火 -> TIMEOUT
02-14 16:47:04.573 D/BleProximity: 📶 RSSI: -56
02-14 16:47:04.870 D/BleProximity: 📶 RSSI: -57
02-14 16:47:05.174 D/BleProximity: 📶 RSSI: -55
02-14 16:47:05.475 D/BleProximity: 📶 RSSI: -52
02-14 16:47:05.782 D/BleProximity: 📶 RSSI: -58
02-14 16:47:06.086 D/BleProximity: 📶 RSSI: -64
02-14 16:47:06.392 D/BleProximity: 📶 RSSI: -64
02-14 16:47:06.698 D/BleProximity: 📶 RSSI: -64
02-14 16:47:07.002 D/BleProximity: 📶 RSSI: -67
02-14 16:47:07.311 D/BleProximity: 📶 RSSI: -63
02-14 16:47:07.614 D/BleProximity: 📶 RSSI: -61
02-14 16:47:07.921 D/BleProximity: 📶 RSSI: -62
02-14 16:47:08.233 D/BleProximity: 📶 RSSI: -62
02-14 16:47:08.539 D/BleProximity: 📶 RSSI: -63
02-14 16:47:08.841 D/BleProximity: 📶 RSSI: -61
02-14 16:47:09.148 D/BleProximity: 📶 RSSI: -62
02-14 16:47:09.453 D/BleProximity: 📶 RSSI: -62
02-14 16:47:09.760 D/BleProximity: 📶 RSSI: -64
02-14 16:47:10.069 D/BleProximity: 📶 RSSI: -63
02-14 16:47:10.378 D/BleProximity: 📶 RSSI: -63
02-14 16:47:10.685 D/BleProximity: 📶 RSSI: -62
02-14 16:47:10.996 D/BleProximity: 📶 RSSI: -63
02-14 16:47:11.296 D/BleProximity: 📶 RSSI: -64
02-14 16:47:11.604 D/BleProximity: 📶 RSSI: -64
02-14 16:47:11.911 D/BleProximity: 📶 RSSI: -63
02-14 16:47:12.218 D/BleProximity: 📶 RSSI: -62
02-14 16:47:12.521 D/BleProximity: 📶 RSSI: -62
02-14 16:47:12.827 D/BleProximity: 📶 RSSI: -63
02-14 16:47:13.132 D/BleProximity: 📶 RSSI: -64
02-14 16:47:13.442 D/BleProximity: 📶 RSSI: -63
02-14 16:47:13.743 D/BleProximity: 📶 RSSI: -63
02-14 16:47:14.054 D/BleProximity: 📶 RSSI: -60
02-14 16:47:14.360 D/BleProximity: 📶 RSSI: -61
02-14 16:47:14.665 D/BleProximity: 📶 RSSI: -63
02-14 16:47:14.973 D/BleProximity: 📶 RSSI: -63
02-14 16:47:15.285 D/BleProximity: 📶 RSSI: -54
02-14 16:47:15.585 D/BleProximity: 📶 RSSI: -51
02-14 16:47:15.890 D/BleProximity: 📶 RSSI: -54
02-14 16:47:16.193 D/BleProximity: 📶 RSSI: -56
02-14 16:47:16.501 D/BleProximity: 📶 RSSI: -58
02-14 16:47:16.807 D/BleProximity: 📶 RSSI: -59
02-14 16:47:17.116 D/BleProximity: 📶 RSSI: -57
02-14 16:47:17.418 D/BleProximity: 📶 RSSI: -60
02-14 16:47:17.725 D/BleProximity: 📶 RSSI: -62
02-14 16:47:18.033 D/BleProximity: 📶 RSSI: -59
02-14 16:47:18.338 D/BleProximity: 📶 RSSI: -62
02-14 16:47:18.644 D/BleProximity: 📶 RSSI: -58
02-14 16:47:18.945 D/BleProximity: 📶 RSSI: -56
02-14 16:47:19.254 D/BleProximity: 📶 RSSI: -58
02-14 16:47:19.501 D/ControlActivity: 🎫 [ControlActivity] 释放 Session: session_ControlActivity_8_1771058819469 (剩余: 1)
02-14 16:47:19.502 D/BleProximity: 🎫 [ControlActivity] 释放 Session: session_ControlActivity_8_1771058819469 (剩余: 1)
02-14 16:47:19.503 D/ControlActivity: ➖ 移除监听器: callback_6_1771058807963 
02-14 16:47:19.504 D/BleProximity: ➖ 移除监听器: callback_6_1771058807963 
02-14 16:47:19.558 D/BleProximity: 📶 RSSI: -55
02-14 16:47:19.859 D/BleProximity: 📶 RSSI: -58
02-14 16:47:20.161 D/BleProximity: 📶 RSSI: -57
02-14 16:47:20.465 D/BleProximity: 📶 RSSI: -59
02-14 16:47:20.770 D/BleProximity: 📶 RSSI: -58
02-14 16:47:20.899 D/MG_NET_LOG: ┌────── 请求开始 ──────
02-14 16:47:20.899 D/MG_NET_LOG: │ URL: https://gitee.com/api/v5/repos/yangyachao-X/mg-linker/releases/latest
02-14 16:47:20.900 D/MG_NET_LOG: │ Method: GET
02-14 16:47:20.900 D/MG_NET_LOG: │ Header: Authorization: token 387f0d958834d479dcdc778fcf2ae326
02-14 16:47:20.901 D/MG_NET_LOG: │ Params: (无 Body 参数)
02-14 16:47:20.902 D/MG_NET_LOG: └──────────────────────
02-14 16:47:21.070 D/BleProximity: 📶 RSSI: -58
02-14 16:47:21.374 D/BleProximity: 📶 RSSI: -58
02-14 16:47:21.543 D/MG_NET_LOG: ┌────── 响应结束 (200 / 643ms) ──────
02-14 16:47:21.544 D/MG_NET_LOG: │ URL: https://gitee.com/api/v5/repos/yangyachao-X/mg-linker/releases/latest
02-14 16:47:21.544 D/MG_NET_LOG: │ Result: {"id":579453,"tag_name":"5.2","target_commitish":"72fcb6f4c2f8d073856fb0fb6e0610f39716b607","prerelease":false,"name":"蓝牙服务优化","body":"1.蓝牙服务增加锁屏退让策略以及亮屏解锁优先\r\n2.增加隐藏最新任务","author":{"id":8784824,"login":"yangyachao-X","name":"YangYachao","avatar_url":"https://foruda.gitee.com/avatar/1677149462712290355/8784824_yangyachao-x_1645510740.png","url":"https://gitee.com/api/v5/users/yangyachao-X","html_url":"https://gitee.com/yangyachao-X","remark":"","followers_url":"https://gitee.com/api/v5/users/yangyachao-X/followers","following_url":"https://gitee.com/api/v5/users/yangyachao-X/following_url{/other_user}","gists_url":"https://gitee.com/api/v5/users/yangyachao-X/gists{/gist_id}","starred_url":"https://gitee.com/api/v5/users/yangyachao-X/starred{/owner}{/repo}","subscriptions_url":"https://gitee.com/api/v5/users/yangyachao-X/subscriptions","organizations_url":"https://gitee.com/api/v5/users/yangyachao-X/orgs","repos_url":"https://gitee.com/api/v5/users/yangyachao-X/repos","events_url":"https://gitee.com/api/v5/users/yangyachao-X/events{/privacy}","received_events_url":"https://gitee.com/api/v5/users/yangyachao-X/received_events","type":"User"},"created_at":"2026-02-14T11:53:43+08:00","assets":[{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/releases/download/5.2/MG%20Linker.apk","name":"MG Linker.apk"},{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/archive/refs/tags/5.2.zip","name":"5.2.zip"},{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/archive/refs/tags/5.2.tar.gz","name":"5.2.tar.gz"}]}
02-14 16:47:21.544 D/MG_NET_LOG: └──────────────────────────────────────────────────
02-14 16:47:21.676 D/BleProximity: 📶 RSSI: -59
02-14 16:47:22.000 D/BleProximity: 📶 RSSI: -58
02-14 16:47:22.301 D/BleProximity: 📶 RSSI: -59
02-14 16:47:22.632 D/BleProximity: 📶 RSSI: -58
02-14 16:47:22.926 D/BleProximity: 📶 RSSI: -59
02-14 16:47:23.233 D/BleProximity: 📶 RSSI: -58
02-14 16:47:23.539 D/BleProximity: 📶 RSSI: -58
02-14 16:47:23.863 D/BleProximity: 📶 RSSI: -60
02-14 16:47:24.165 D/BleProximity: 📶 RSSI: -58
